id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
a194b7bd-51d7-471d-93c8-91690bd4585c,"Extra Sauce",sk-0167,cat-21,,No,Yes,Yes,3,,,,,,,No,,"صلصة اضافية",
a0709c99-3fe5-4b9a-abe1-2f034fe53b9e,"Mushroom Beef Burger",sk-0166,cat-06,,No,Yes,Yes,50,,,,,,,No,,"برجر لحم البقر بالفطر",
a06c0131-1b7f-4b7f-9256-93898d12e7a1,"Penne Pasta with Alfredo Sauce",sk-0165,cat-17,,No,Yes,Yes,40,,,,,,,No,,"معكرونة بيني مع صوص ألفريدو",
a05b5999-7352-46a7-afb5-3c123c9a6080,"English Egg",sk-0164,cat-01,,No,Yes,Yes,35,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1763142071_a05b59af-a0d0-491d-80a6-4ac270897fda.jpg,"بيضة انجليزية",
a05b5841-9ba3-467b-9b83-ddba96142894,"Spelt Truffle Cream",sk-0163,cat-01,,No,Yes,No,35,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1763141982_a05b5927-2791-4e92-a4dd-20c7a400ffc3.jpg,"كريمة الكمأة المصنوعة من الشعير",
9fe29a15-5497-4150-b6d1-947e73438880,"Body Building",sk-0161,,,Yes,Yes,No,200,,,,30,,,No,,"كمال الاجسام",
9fe299e0-f134-46c8-9bf1-16931096c323,"Weight loss",sk-0162,,,Yes,Yes,Yes,125,,,,30,,,No,,"فقدان الوزن",
9fe0b76e-30cc-4368-a54b-964ca030583d,"Kinza Lemon",sk-0155,cat-13,,No,Yes,Yes,3,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757874999_9fe0b77d-69d1-43f3-bd8e-2d2af781ba09.jpeg,,
9fe0b3a4-e02e-4b40-9129-396ee6b33228,"Kinza Diet Cola",sk-0154,cat-13,,No,Yes,Yes,4,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757874366_9fe0b3b7-b3f0-47ee-9991-cc547b382093.jpeg,,
9fe0b344-b0b5-4f3f-b495-5b5a7c393333,"Kinza Lemon Zero Sugar",sk-0153,cat-13,,No,Yes,No,4,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757874305_9fe0b35b-2f27-45c4-af71-ae403bc7dae6.jpeg,,
9fe0b261-e0f4-4c2a-ba91-f917e932a58a,"Kinza Citrus",sk-0151,cat-13,,No,Yes,Yes,3,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757874154_9fe0b274-af4d-4120-83f3-3ceee6edc56e.jpeg,,
9fdedc95-74bc-4970-8811-a405911e84d9,"Kinza Blackcurrant",sk-0150,cat-13,,No,Yes,Yes,3,,1,,10,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757795359_9fdedccc-a764-49e3-9495-a3061af9afe7.jpeg,"كينزا الكشمش الأسود",
9fda3338-214a-4fea-84a5-ffec6671eb02,"Kinza Cola",sk-0152,cat-13,,No,Yes,Yes,3,,0,,10,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/388612_1757870628_9fe09d6f-bae7-4e3f-8a15-bb5b9bcf4359.jpeg,"كينزا كولا",
9d9c4ef8-b087-41f2-b453-18708c3027ee,"Yogurt Granola Bowl",sk-0145,cat-01,,No,Yes,Yes,30,,,,,,,No,,"وعاء جرانولا الزبادي",
9d9c4e94-21ae-4f78-a159-c3eb256fd798,"Japanese Cheesecake",sk-0144,cat-18,,No,Yes,Yes,32,,,,,,,No,,"كيكة يابانية",
9d9c4e56-eae9-47e4-9c06-852560ec0aab,"SMOOTHIE GREEN BOOSTER",sk-0143,cat-20,,No,Yes,Yes,30,,,,,,,No,,"عصير اسموزى أخضر",
9d9c4e2c-2dae-4009-95ae-37731ccc1673,"ACAI SMOOTHIE",sk-0142,cat-20,,No,Yes,Yes,35,,,,,,,No,,"عصير اسموزى  أكاي",
9d9c4dfd-e982-4c8f-847d-3e16cde10ec5,"PINK LOW CAL SMOOTHIE",sk-0141,cat-20,,No,Yes,Yes,28,,,,,,,No,,"عصير اسموزى وردي منخفض السعرات الحرارية",
9d9c4dcf-f84b-4971-a4ff-29522565783a,"BLUEBERRY SMOOTHIE",sk-0140,cat-20,,No,Yes,Yes,30,,,,,,,No,,"عصير اسموزى التوت",
9d9c4d97-ec68-4004-9161-3f622673a168,"PROTEIN MILK SHAKE",sk-0146,cat-20,,No,Yes,Yes,35,,,,,,,No,,"ميلك تشيك بالبروتين",
9d9c4d52-0d0d-456e-ad73-2a61b5d277ac,"CAPPUCCINO CHEESECAKE",sk-0138,cat-18,,No,Yes,Yes,30,,,,,,,No,,"تشيز كيك كابتشينو",
9d9c4d1e-92bc-4296-b723-ceec9392ebc5,"NUTS MUFFIN",sk-0137,cat-18,,No,Yes,Yes,27,,,,,,,No,,"مافن المكسرات",
9d9c4ca2-163c-42cb-8aa9-f2cc5a536c09,"CHOCOLATE MUFFIN",sk-0136,cat-18,,No,Yes,Yes,29,,,,,,,No,,"مافن الشوكولاتة",
9d9c4c67-7517-41fe-b46c-8be521b8a927,"ICED MATCHA OATS MILK",sk-0135,cat-20,,No,Yes,Yes,32,,,,,,,No,,"حليب الشوفان الماتشا المثلج",
9d9c4c15-e774-43e2-95b4-204fbd0d4c4c,"ICED MATCHA COCONUT MILK",sk-0134,cat-20,,No,Yes,Yes,32,,,,,,,No,,"حليب جوز الهند الماتشا المثلج",
9d9c4be2-aff9-4269-b8bd-799dfe1d79ee,"ICED MATCHA ALMOND MILK",sk-0133,cat-20,,No,Yes,Yes,32,,,,,,,No,,"حليب اللوز الماتشا المثلج",
9d9c4baf-cddb-4ed5-81ff-182746e55573,"ICED MATCHA LOW FAT MILK",sk-0132,cat-20,,No,Yes,Yes,27,,,,,,,No,,"مسحوق ماتشا أصلي مع حليب قليل الدسم ومكعب ثلج",
9d9c4b65-82f2-497a-943e-be47a6006580,"SCRAMBLED EGG",sk-0131,cat-01,,No,Yes,Yes,35,,,,,501,,No,,"بيض اسكرامبل",
9d9c4ab7-bc1d-4590-924b-f0bc49e0e25d,"CHEESE EGG BURGER",sk-0130,cat-01,,No,Yes,Yes,30,,,,,370,,No,,"تشيز برجر بيض",
9d9c4a34-8e2f-4679-a528-1dcbdab8d9c8,"Egg benedict",sk-0129,cat-01,,No,Yes,Yes,35,,,,,657,,No,,"ايق بندكت",
9d9c4907-30e9-4c3f-b203-8cd78f9d2ecc,"CHEESE HEAVEN",sk-0128,cat-01,,No,Yes,Yes,33,,,,,384,,No,,"جبنه هافان",
9c779d3f-7477-4e57-929c-d96d8cc75b76,Subscription,sk-0127,,,No,Yes,No,,,,,,,,No,,اشتراك,
99612d1e-50d0-4fb9-bdc5-a1b6a106b812,"Egyptian Rice",sk-0111,cat-12,,No,Yes,No,0,,,,,,,No,,"أرز مصري",
98290a12-ace4-412c-ae44-bbf4bf7b0ddc,"Pro puffs cheese",sk-0110,pb-001,,No,Yes,Yes,18.5,,,,,,,No,,,
982909eb-ba80-4b41-8168-5913ce83cd42,"Grenade cookie dough",sk-0109,pb-001,,No,Yes,Yes,22.5,,,,,,,No,,,
982909bf-1316-4249-8129-7a2dd46993c7,"Grenade peanut nutter",sk-0108,pb-001,,No,Yes,Yes,22.5,,,,,,,No,,,
9829098d-5e29-4879-a98a-44fa53836d79,"Double chocolate cookies",sk-0107,pb-001,,No,Yes,Yes,22.5,,,,,,,No,,,
98290962-8c8a-4d2f-a5ae-2e7e2ff90994,"White chocolate cookies",sk-0106,pb-001,,No,Yes,Yes,22.25,,,,,,,No,,,
9811254d-118f-46a9-ac4c-b279ebe4be6d,"Lenny & Larry’s The Complete Cookie",sk-0105,cat-12,,No,Yes,No,8,,,,,,,No,,,
98112374-7894-42f0-b497-b88ffedc16fd,"Pro Puffs",sk-0104,cat-12,,No,Yes,No,16,0,,,,,,No,,,
97e45442-c6a1-43dc-8bfb-ff387d21ba7a,"Cola Zero",psk-074,cat-13,,No,Yes,Yes,4,,,,,,,No,,"كولا زيرو",
97e45442-d60a-461e-b031-6fba98f9cadc,Water,psk-075,cat-13,,No,Yes,Yes,5,,,,,,,No,,ماء,
97e45442-f13b-4783-b4c3-deed06266bd7,"Biryani Fish",psk-077,cat-14,,No,Yes,No,40,,,"Fish cooked with indian masala and basmati rice",,338,,No,,"سمك برياني","سمك مطبوخ مع الماسالا الهندي و الأرز بسمتي"
97e45442-f9ef-4e01-accf-adc4b66bcd86,"Magbous Chicken",psk-079,cat-14,,Yes,Yes,No,36,,,"Chicken pieces cooked with arabic spices, saffron, tomato with basmati rice",,655,,No,,"مجبوس دجاج","قطع دجاج مطبوخة بالبهارات العربية والزعفران والطماطم مع أرز بسمتي"
97e45442-faa8-4c06-8750-45e6091c56db,"Biryani Shrimp",psk-078,cat-14,,No,Yes,No,51,,,"Shrimp cooked with indian masala and basmati rice",,328,,No,,"برياني روبيان","روبيان مطبوخ مع الماسالا الهندي و الأرز بسمتي"
97e45443-1647-46f2-9a25-a545749a9d04,"Magbous Fish",psk-080,cat-14,,No,Yes,No,35,,,"Fish cooked with arabic spices, saffron, tomato with basmati rice",,587,,No,,"سمك مجبوس","سمك مطبوخ بالبهارات العربية والزعفران والطماطم مع أرز بسمتي"
97e45443-30bd-473b-8ea3-65298e73add0,"Magbous Shrimp",psk-081,cat-14,,No,Yes,No,51,,,"Shrimp cooked with arabic spices, saffron, tomato with basmati rice",,633,,No,,"مجبوس روبيان","روبيان مطبوخ بالبهارات العربية والزعفران والطماطم مع أرز بسمتي"
97e45443-321b-4d45-abb4-2d88fd23ce9f,"Chicken Risotto",psk-085,cat-16,,No,Yes,No,35,,,"Roasted chicken breast cooked with arborio rice, mushroom and parmesan cheese",,512,,No,,"ريزوتو الدجاج","صدر دجاج محمر مطبوخ مع أرز أربوريو ، مشروم وجبنة بارميزان"
97e45443-336f-49e5-80c3-d24da9f6d43c,"Shrimp Risotto",psk-084,cat-16,,No,Yes,No,42,,,"Fried shrimps (or) pan-seared shrimp / cooked with arborio rice, parmesan cheese",,406,,No,,"ريزوتو الروبيان","روبيان مطهو سوتيه، أرز أربوريو، جبنة بارميزان"
97e45443-3706-4aa4-a543-b16ad6c8699b,"Chicken Pizza",psk-082,cat-15,,No,Yes,No,34,,,"Marinated grill chicken with color capsicum, olives, and low fat mozzarella cheese",,109,,No,,دجاج,"دجاج مشوي متبل مع فليفلة ملونة ، زيتون وجبنة موزاريلا قليلة الدسم"
97e45443-4053-4ee8-aefb-c14a7fa773e0,"Buffalo Pizza",psk-083,cat-15,,No,Yes,No,42,,,"Pizza pan, chicken, tomato sauce, cheese mozarella, paprika, pepper, black olives, jalapeno, cupsicum, baffalo sauce",,109,,No,,بوفالو,"بيتزا بان ، دجاج ، صوص طماطم ، جبنة موتزاريلا ، بابريكا ، فلفل اسود ، زيتون أسود ، هالبينو ، فلفل الوان ، بافلو صوص"
97e45443-42a3-4c2b-95a4-c72bb90ee866,"Potato Seafood",psk-087,cat-16,,No,Yes,No,49,,,"Mashed potato, fish, salmon, shrimp, onion, garlic, dried dill, cooking cream low fat, breadcurmbs, parmesan cheese",,505,,No,,"بايلا بالطاطا المهروسه","بطاطس مهروسة ، سمك ، سلمون ، جمبري ، بصل ، ثوم ، شبت مجفف ، كريمة طبخ قليلة الدسم ، بقسماط ، جبنة بارميزان"
97e45443-4470-4073-a55c-1c82d2c3bc63,"Paella Rice",psk-086,cat-16,,No,Yes,No,53,,,"Bomba rice, white fish, mussels, shrimp, squid tube, tomato paste, chicken stock, white pepper, dill leaves, parsley, onion, garlic peeled, olive oil",,436,,No,,"أرز باييلا","أرز بومبا ، سمك أبيض ، بلح البحر ، روبيان ،حبار ، معجون طماطم ، مرقة دجاج ، فلفل أبيض ، أوراق شبت ، بقدونس ، بصل ، ثوم مقشر ، زيت زيتون"
97e45443-46e1-44b3-9735-7f554c075695,"Low Calorie Spaghetti",psk-088,cat-17,,No,Yes,No,42,,,"Spaghetti, beef, bolognese sauce, parmesan cheese on top",,473,,No,,"لو كالوري سباغيتي","سباغيتي ، لحم، صلصة البولونيز ، جبنة بارميزان"
97e45443-4ce8-4eb7-9ec9-3065ab86cdeb,"Chicken Pasta Spinach Sauce",psk-090,cat-17,,No,Yes,No,40,,,"Chunky tomato sauce, penne pasta, chicken spinach, parmesan cheese on top",,523,,No,,"باستا الدجاج بصلصة السبانخ","صلصة طماطم، بيني باستا، دجاج، سبانخ ، جبنة بارميزان"
